Team,Type,W,L,W%
New York Yankees,High 95,113,49,0.6973830119164924
New York Yankees,Yhat,94,68,0.5792427603385347
New York Yankees,Low 95,73,89,0.4512826678983843
Boston Red Sox,High 95,112,50,0.6901645173585957
Boston Red Sox,Yhat,92,70,0.5688938872151151
Boston Red Sox,Low 95,71,91,0.43875207110544023
Los Angeles Dodgers,High 95,99,63,0.6110301862510118
Los Angeles Dodgers,Yhat,79,83,0.4862256017460993
Los Angeles Dodgers,Low 95,59,103,0.3631122292511742
Atlanta Braves,High 95,109,53,0.6715309211139724
Atlanta Braves,Yhat,88,74,0.5420339010104168
Atlanta Braves,Low 95,66,96,0.40659686188116634
Chicago White Sox,High 95,108,54,0.6656539383502627
Chicago White Sox,Yhat,88,74,0.5419932494353175
Chicago White Sox,Low 95,67,95,0.4129322393765164
Chicago Cubs,High 95,102,60,0.6325621330952877
Chicago Cubs,Yhat,82,80,0.5049282754697967
Chicago Cubs,Low 95,61,101,0.37666850636681903
Cincinnati Reds,High 95,97,65,0.5992731547815154
Cincinnati Reds,Yhat,76,86,0.4687339331210721
Cincinnati Reds,Low 95,55,107,0.342337859647418
Cleveland Indians,High 95,107,55,0.6601855401540452
Cleveland Indians,Yhat,87,75,0.5392372432193528
Cleveland Indians,Low 95,67,95,0.4134852107898578
Detroit Tigers,High 95,99,63,0.6119819895403734
Detroit Tigers,Yhat,77,85,0.47744296962818117
Detroit Tigers,Low 95,56,106,0.34609921669865457
Baltimore Orioles,High 95,97,65,0.598677472107048
Baltimore Orioles,Yhat,75,87,0.46198207964950877
Baltimore Orioles,Low 95,54,108,0.33077244969358827
San Francisco Giants,High 95,104,58,0.6422003586160157
San Francisco Giants,Yhat,83,79,0.512396756451141
San Francisco Giants,Low 95,62,100,0.380898123425613
Oakland Athletics,High 95,111,51,0.682904401642628
Oakland Athletics,Yhat,86,76,0.5285831989685331
Oakland Athletics,Low 95,60,102,0.36859846999568924
Philadelphia Phillies,High 95,105,57,0.6465449727195333
Philadelphia Phillies,Yhat,83,79,0.5138670154828258
Philadelphia Phillies,Low 95,61,101,0.3792006913236071
Pittsburgh Pirates,High 95,94,68,0.5782024057817969
Pittsburgh Pirates,Yhat,73,89,0.44960230932985074
Pittsburgh Pirates,Low 95,53,109,0.3274044356492343
St. Louis Cardinals,High 95,114,48,0.7049500422393574
St. Louis Cardinals,Yhat,95,67,0.5855301308691196
St. Louis Cardinals,Low 95,74,88,0.4551417434619941
Minnesota Twins,High 95,102,60,0.6297761958428134
Minnesota Twins,Yhat,80,82,0.4934444992861613
Minnesota Twins,Low 95,58,104,0.358056829656896
Los Angeles Angels,High 95,93,69,0.5757564502630045
Los Angeles Angels,Yhat,77,85,0.47227123766437773
Los Angeles Angels,Low 95,60,102,0.37110476069549664
Texas Rangers,High 95,98,64,0.6044430626725488
Texas Rangers,Yhat,79,83,0.4867125007405483
Texas Rangers,Low 95,60,102,0.37045734724271395
Houston Astros,High 95,103,59,0.6348676036395
Houston Astros,Yhat,87,75,0.5342600176669642
Houston Astros,Low 95,70,92,0.4307778178033022
New York Mets,High 95,100,62,0.6191173735950499
New York Mets,Yhat,79,83,0.48774066208663885
New York Mets,Low 95,58,104,0.357978208812682
Kansas City Royals,High 95,84,78,0.5163341264288462
Kansas City Royals,Yhat,66,96,0.40616242234944966
Kansas City Royals,Low 95,49,113,0.30461650656623074
Washington Nationals,High 95,96,66,0.5936161076968239
Washington Nationals,Yhat,76,86,0.4715628931417074
Washington Nationals,Low 95,57,105,0.35282597351307976
San Diego Padres,High 95,98,64,0.604195822516169
San Diego Padres,Yhat,77,85,0.47654412128646445
San Diego Padres,Low 95,57,105,0.35188015174497367
Milwaukee Brewers,High 95,94,68,0.582799879187672
Milwaukee Brewers,Yhat,78,84,0.48120756823779853
Milwaukee Brewers,Low 95,62,100,0.38109178263351234
Seattle Mariners,High 95,93,69,0.5734043946806625
Seattle Mariners,Yhat,71,91,0.4363848740440849
Seattle Mariners,Low 95,50,112,0.30846385760523243
Toronto Blue Jays,High 95,92,70,0.565951472227004
Toronto Blue Jays,Yhat,74,88,0.45403617616644587
Toronto Blue Jays,Low 95,56,106,0.34654542651360837
