Team,Type,W,L,W%
New York Yankees,High 95,113,49,0.6975107691693032
New York Yankees,Yhat,94,68,0.5794589358585784
New York Yankees,Low 95,73,89,0.45157118913019045
Boston Red Sox,High 95,112,50,0.6900536549182206
Boston Red Sox,Yhat,92,70,0.5688046143389027
Boston Red Sox,Low 95,71,91,0.4387002913924349
Los Angeles Dodgers,High 95,99,63,0.6106445056272596
Los Angeles Dodgers,Yhat,79,83,0.4859155684015467
Los Angeles Dodgers,Low 95,59,103,0.3629133308733826
Atlanta Braves,High 95,109,53,0.6715843903524111
Atlanta Braves,Yhat,88,74,0.5420935950657363
Atlanta Braves,Low 95,66,96,0.4066543952175801
Chicago White Sox,High 95,108,54,0.6655043128830037
Chicago White Sox,Yhat,88,74,0.541829358767561
Chicago White Sox,Low 95,67,95,0.4127750682108952
Chicago Cubs,High 95,103,59,0.6327344222056726
Chicago Cubs,Yhat,82,80,0.5051654011094072
Chicago Cubs,Low 95,61,101,0.3769416589434611
Cincinnati Reds,High 95,97,65,0.5992571501582039
Cincinnati Reds,Yhat,76,86,0.4687348483375205
Cincinnati Reds,Low 95,55,107,0.3423548209746939
Cleveland Indians,High 95,107,55,0.6601894913517561
Cleveland Indians,Yhat,87,75,0.5392241884870161
Cleveland Indians,Low 95,67,95,0.4134554715544122
Detroit Tigers,High 95,99,63,0.6118591167673254
Detroit Tigers,Yhat,77,85,0.47731995856721265
Detroit Tigers,Low 95,56,106,0.34599320281220614
Baltimore Orioles,High 95,97,65,0.59854213237713
Baltimore Orioles,Yhat,75,87,0.46193368992091527
Baltimore Orioles,Low 95,54,108,0.3308109344363634
San Francisco Giants,High 95,104,58,0.642244097026802
San Francisco Giants,Yhat,83,79,0.5124403080490998
San Francisco Giants,Low 95,62,100,0.38093545075657764
Oakland Athletics,High 95,111,51,0.6827195744669925
Oakland Athletics,Yhat,86,76,0.5285771019183902
Oakland Athletics,Low 95,60,102,0.36878498499513795
Philadelphia Phillies,High 95,105,57,0.6463495512388916
Philadelphia Phillies,Yhat,83,79,0.5136776638861036
Philadelphia Phillies,Low 95,61,101,0.379044888604258
Pittsburgh Pirates,High 95,94,68,0.5783124860182886
Pittsburgh Pirates,Yhat,73,89,0.44972014085951406
Pittsburgh Pirates,Low 95,53,109,0.32751475970072935
St. Louis Cardinals,High 95,114,48,0.7050396486913358
St. Louis Cardinals,Yhat,95,67,0.5856660849563213
St. Louis Cardinals,Low 95,74,88,0.4553130170868666
Minnesota Twins,High 95,102,60,0.6288473459415168
Minnesota Twins,Yhat,80,82,0.4925178368935037
Minnesota Twins,Low 95,58,104,0.3572685292315665
