,feature,score
,fBodyGyro-skewness()-X,0.165833333
,tBodyAcc-iqr()-Z,0.165
,tBodyGyroJerk-iqr()-Z,0.165
,"fBodyAcc-bandsEnergy()-1,24_1",0.165
,fBodyAccJerk-skewness()-Z,0.165
,tBodyGyro-energy()-X,0.164166667
,"fBodyAcc-bandsEnergy()-41,48_1",0.164166667
,"fBodyAccJerk-bandsEnergy()-1,16_1",0.164166667
,tBodyGyroJerk-mean()-Z,0.163333333
,fBodyAccJerk-max()-Y,0.1625
,fBodyAccJerk-meanFreq()-Y,0.1625
,"fBodyGyro-bandsEnergy()-25,48",0.1625
,tBodyAcc-entropy()-Z,0.161666667
,tBodyGyro-entropy()-Z,0.160833333
,fBodyAcc-mean()-X,0.159166667
,"fBodyAcc-bandsEnergy()-17,24",0.159166667
,"tBodyGyro-arCoeff()-Y,2",0.1575
,"fBodyAcc-bandsEnergy()-1,8_1",0.1575
,fBodyAcc-energy()-Y,0.155
,"fBodyAcc-bandsEnergy()-1,16",0.154166667
,"angle(tBodyGyroMean,gravityMean)",0.153333333
,"fBodyAccJerk-bandsEnergy()-9,16",0.1525
,tGravityAcc-std()-Y,0.151666667
,"angle(tBodyAccJerkMean),gravityMean)",0.151666667
,fBodyAccJerk-std()-Z,0.148333333
,fBodyGyro-entropy()-Z,0.148333333
,fBodyAcc-kurtosis()-Z,0.1475
,"tBodyGyro-arCoeff()-X,4",0.146666667
,tBodyGyroMag-arCoeff()2,0.145833333
,"fBodyAcc-bandsEnergy()-1,16_1",0.145
,"tBodyAcc-arCoeff()-X,4",0.144166667
,tBodyGyroJerk-mean()-Y,0.144166667
,"tBodyGyroJerk-arCoeff()-Y,1",0.144166667
,tBodyGyroMag-entropy(),0.144166667
,"tBodyAccJerk-arCoeff()-X,2",0.143333333
,"fBodyGyro-bandsEnergy()-1,16",0.143333333
,"fBodyAccJerk-bandsEnergy()-49,56_1",0.1425
,"tBodyGyroJerk-correlation()-Y,Z",0.139166667
,fBodyGyro-min()-Z,0.139166667
,"fBodyAccJerk-bandsEnergy()-1,24_2",0.138333333
,"tGravityAcc-arCoeff()-Y,1",0.1375
,fBodyAcc-skewness()-Z,0.136666667
,tBodyAccJerk-energy()-Y,0.135833333
,tBodyGyroJerkMag-arCoeff()2,0.134166667
,tBodyGyro-sma(),0.1325
,tBodyAcc-energy()-X,0.1325
,tBodyAcc-sma(),0.13
,"tBodyAcc-arCoeff()-X,2",0.13
,"tBodyGyroJerk-arCoeff()-X,2",0.13
,fBodyAccMag-iqr(),0.13
,"tBodyAccJerk-arCoeff()-Z,3",0.13
,fBodyAcc-mad()-Y,0.129166667
,fBodyAcc-meanFreq()-X,0.129166667
,"tBodyGyro-arCoeff()-X,2",0.1275
,fBodyGyro-max()-X,0.1275
,"fBodyGyro-bandsEnergy()-17,32_2",0.1275
,tBodyAccJerk-entropy()-Z,0.126666667
,"tBodyAcc-arCoeff()-X,3",0.125833333
,"tBodyAcc-arCoeff()-Y,4",0.125
,"tGravityAcc-correlation()-X,Y",0.125
,"fBodyGyro-bandsEnergy()-25,32_1",0.125
,fBodyAcc-energy()-Z,0.124166667
,"angle(Y,gravityMean)",0.124166667
,tBodyGyro-energy()-Z,0.123333333
,fBodyAccJerk-max()-Z,0.123333333
,tBodyAccMag-min(),0.1225
,"fBodyGyro-bandsEnergy()-17,24_1",0.121666667
,tBodyAcc-mean()-Z,0.12
,"tBodyAccJerk-arCoeff()-Y,1",0.12
,fBodyGyro-std()-Y,0.12
,fBodyAcc-maxInds-Z,0.119166667
,"fBodyGyro-bandsEnergy()-9,16",0.118333333
,tBodyAccJerkMag-iqr(),0.118333333
,tBodyAcc-iqr()-Y,0.1175
,fBodyBodyAccJerkMag-maxInds,0.1175
,tBodyGyro-mean()-Z,0.116666667
,tGravityAcc-std()-Z,0.116666667
,tBodyAccJerk-mean()-X,0.116666667
,"fBodyAcc-bandsEnergy()-49,56",0.116666667
,fBodyAccJerk-skewness()-X,0.116666667
,"fBodyAccJerk-bandsEnergy()-17,32_2",0.116666667
,"tBodyAccJerk-arCoeff()-X,1",0.115833333
,tBodyAccMag-arCoeff()3,0.115
,fBodyAccJerk-iqr()-Z,0.114166667
,fBodyAccJerk-std()-Y,0.113333333
,"tBodyAcc-arCoeff()-Z,3",0.113333333
,"tBodyGyroJerk-arCoeff()-Z,1",0.1125
,"fBodyAccJerk-bandsEnergy()-57,64_2",0.1125
,fBodyBodyGyroMag-meanFreq(),0.111666667
,"fBodyGyro-bandsEnergy()-25,48_1",0.110833333
,tBodyAccJerkMag-entropy(),0.11
,fBodyBodyGyroMag-min(),0.11
,"tBodyAcc-arCoeff()-Z,1",0.109166667
,tBodyGyro-max()-Y,0.109166667
,tBodyGyroJerk-std()-X,0.109166667
,fBodyBodyAccJerkMag-sma(),0.108333333
,fBodyBodyAccJerkMag-meanFreq(),0.108333333
,"tGravityAcc-arCoeff()-X,4",0.1075
,fBodyAcc-min()-Y,0.1075
,fBodyBodyGyroJerkMag-maxInds,0.1075
,"tBodyAccJerk-arCoeff()-Z,1",0.106666667
,"fBodyGyro-bandsEnergy()-17,32",0.105833333
,tBodyGyroJerkMag-iqr(),0.105
,tBodyAcc-mean()-Y,0.104166667
,tGravityAcc-mean()-X,0.104166667
,"fBodyAcc-bandsEnergy()-1,24",0.103333333
,tBodyGyro-mean()-Y,0.1025
,"fBodyAccJerk-bandsEnergy()-1,8_1",0.1025
,tGravityAcc-mad()-Z,0.101666667
,tBodyGyro-max()-Z,0.101666667
,fBodyAcc-min()-X,0.101666667
,fBodyBodyGyroJerkMag-meanFreq(),0.101666667
,tBodyAccJerk-mad()-Z,0.100833333
,tBodyGyro-min()-X,0.100833333
,fBodyAccMag-min(),0.100833333
,tBodyAcc-max()-Y,0.1
,"tBodyAcc-arCoeff()-Y,2",0.1
,"tBodyAccJerk-arCoeff()-Y,2",0.1
,"tBodyAcc-arCoeff()-Z,2",0.099166667
,"angle(tBodyAccMean,gravity)",0.099166667
,tGravityAcc-mean()-Z,0.098333333
,fBodyAccJerk-kurtosis()-X,0.098333333
,tBodyAccJerk-iqr()-Y,0.0975
,tBodyGyro-min()-Z,0.0975
,fBodyAcc-max()-Z,0.096666667
,fBodyBodyGyroMag-sma(),0.095833333
,tBodyAccJerkMag-arCoeff()3,0.095
,"fBodyGyro-bandsEnergy()-1,24_1",0.095
,fBodyBodyAccJerkMag-max(),0.0925
,"tBodyAccJerk-arCoeff()-Y,3",0.0925
,fBodyAcc-iqr()-Z,0.0925
,tBodyAccJerk-min()-Y,0.091666667
,"fBodyGyro-bandsEnergy()-57,64_1",0.091666667
,tBodyAccJerk-mean()-Y,0.09
,fBodyAccJerk-min()-Y,0.09
,tGravityAccMag-iqr(),0.089166667
,fBodyAcc-std()-X,0.089166667
,"fBodyGyro-bandsEnergy()-1,8",0.089166667
,fBodyAccMag-max(),0.089166667
,tGravityAccMag-arCoeff()2,0.088333333
,tGravityAcc-max()-X,0.086666667
,tBodyGyroMag-iqr(),0.086666667
,fBodyAcc-entropy()-Y,0.085833333
,tGravityAcc-mad()-X,0.083333333
,tGravityAcc-max()-Z,0.083333333
,fBodyAccJerk-skewness()-Y,0.0825
,fBodyBodyGyroMag-iqr(),0.081666667
,tBodyGyroJerkMag-arCoeff()1,0.08
,"fBodyAccJerk-bandsEnergy()-57,64_1",0.079166667
,tGravityAccMag-arCoeff()3,0.079166667
,"tGravityAcc-arCoeff()-Z,3",0.078333333
,"fBodyGyro-bandsEnergy()-1,24_2",0.078333333
,tBodyGyroJerkMag-arCoeff()3,0.078333333
,"fBodyAccJerk-bandsEnergy()-49,64_2",0.078333333
,fBodyGyro-iqr()-Z,0.078333333
,"tBodyAcc-correlation()-X,Z",0.0775
,tBodyGyroMag-arCoeff()3,0.0775
,"fBodyAcc-bandsEnergy()-33,40",0.076666667
,"fBodyAcc-bandsEnergy()-57,64_2",0.076666667
,"fBodyGyro-bandsEnergy()-25,32",0.076666667
,fBodyAccMag-mean(),0.075833333
,tBodyGyroJerk-mad()-Z,0.075
,tBodyGyroJerk-max()-Y,0.074166667
,fBodyAccJerk-kurtosis()-Y,0.074166667
,tBodyGyroJerk-iqr()-X,0.074166667
,tBodyAccJerkMag-max(),0.073333333
,tGravityAcc-min()-Z,0.0725
,tBodyAccMag-std(),0.0725
,fBodyAccMag-kurtosis(),0.0725
,tBodyGyroMag-energy(),0.071666667
,fBodyAccJerk-entropy()-Z,0.071666667
,"fBodyAccJerk-bandsEnergy()-25,32_1",0.071666667
,"tBodyGyroJerk-arCoeff()-Y,3",0.069166667
,tBodyAccMag-arCoeff()4,0.066666667
,tBodyGyro-iqr()-Z,0.065833333
,"angle(X,gravityMean)",0.065
,"fBodyGyro-bandsEnergy()-57,64",0.064166667
